ADDR,DATA
0x000,0x7F
0x001,0x80
0x002,0x80
0x003,0x7F
0x004,0x7F
0x005,0x80
0x006,0x81
0x007,0x81
0x008,0x81
0x009,0x81
0x00A,0x7F
0x00B,0x7F
0x00C,0x80
0x00D,0x80
0x00E,0x7F
0x00F,0x7F
0x010,0x7F
0x011,0x7F
0x012,0x7F
0x013,0x80
0x014,0x81
0x015,0x81
0x016,0x80
0x017,0x80
0x018,0x80
0x019,0x80
0x01A,0x80
0x01B,0x80
0x01C,0x7F
0x01D,0x7E
0x01E,0x7E
0x01F,0x7F
0x020,0x80
0x021,0x80
0x022,0x80
0x023,0x81
0x024,0x80
0x025,0x80
0x026,0x81
0x027,0x81
0x028,0x80
0x029,0x7F
0x02A,0x7F
0x02B,0x7E
0x02C,0x7E
0x02D,0x7F
0x02E,0x80
0x02F,0x80
0x030,0x7F
0x031,0x80
0x032,0x80
0x033,0x81
0x034,0x81
0x035,0x81
0x036,0x80
0x037,0x7F
0x038,0x7F
0x039,0x7F
0x03A,0x7F
0x03B,0x7F
0x03C,0x7F
0x03D,0x7F
0x03E,0x7F
0x03F,0x80
0x040,0x81
0x041,0x81
0x042,0x81
0x043,0x81
0x044,0x80
0x045,0x7F
0x046,0x80
0x047,0x80
0x048,0x80
0x049,0x7F
0x04A,0x7E
0x04B,0x7F
0x04C,0x7F
0x04D,0x80
0x04E,0x81
0x04F,0x81
0x050,0x80
0x051,0x80
0x052,0x81
0x053,0x81
0x054,0x80
0x055,0x80
0x056,0x80
0x057,0x7E
0x058,0x7E
0x059,0x7F
0x05A,0x80
0x05B,0x80
0x05C,0x80
0x05D,0x80
0x05E,0x80
0x05F,0x80
0x060,0x81
0x061,0x81
0x062,0x81
0x063,0x80
0x064,0x80
0x065,0x7F
0x066,0x7E
0x067,0x7F
0x068,0x80
0x069,0x7F
0x06A,0x7F
0x06B,0x80
0x06C,0x80
0x06D,0x80
0x06E,0x81
0x06F,0x81
0x070,0x80
0x071,0x80
0x072,0x7F
0x073,0x7F
0x074,0x7F
0x075,0x7F
0x076,0x7F
0x077,0x7F
0x078,0x7F
0x079,0x7F
0x07A,0x80
0x07B,0x81
0x07C,0x81
0x07D,0x81
0x07E,0x80
0x07F,0x80
0x080,0x80
0x081,0x80
0x082,0x80
0x083,0x7F
0x084,0x7E
0x085,0x7F
0x086,0x7F
0x087,0x7F
0x088,0x80
0x089,0x81
0x08A,0x80
0x08B,0x80
0x08C,0x80
0x08D,0x81
0x08E,0x80
0x08F,0x80
0x090,0x80
0x091,0x7F
0x092,0x7E
0x093,0x7E
0x094,0x7F
0x095,0x80
0x096,0x80
0x097,0x80
0x098,0x80
0x099,0x80
0x09A,0x80
0x09B,0x81
0x09C,0x81
0x09D,0x80
0x09E,0x80
0x09F,0x7F
0x0A0,0x7F
0x0A1,0x7F
0x0A2,0x7F
0x0A3,0x7F
0x0A4,0x7F
0x0A5,0x7F
0x0A6,0x7F
0x0A7,0x80
0x0A8,0x81
0x0A9,0x81
0x0AA,0x81
0x0AB,0x80
0x0AC,0x7F
0x0AD,0x80
0x0AE,0x80
0x0AF,0x80
0x0B0,0x7F
0x0B1,0x7F
0x0B2,0x7F
0x0B3,0x7F
0x0B4,0x80
0x0B5,0x80
0x0B6,0x80
0x0B7,0x80
0x0B8,0x80
0x0B9,0x80
0x0BA,0x80
0x0BB,0x80
0x0BC,0x80
0x0BD,0x80
0x0BE,0x7F
0x0BF,0x7F
0x0C0,0x7F
0x0C1,0x7F
0x0C2,0x80
0x0C3,0x80
0x0C4,0x80
0x0C5,0x80
0x0C6,0x80
0x0C7,0x80
0x0C8,0x81
0x0C9,0x80
0x0CA,0x80
0x0CB,0x80
0x0CC,0x7F
0x0CD,0x7F
0x0CE,0x7F
0x0CF,0x80
0x0D0,0x80
0x0D1,0x7F
0x0D2,0x7F
0x0D3,0x7F
0x0D4,0x80
0x0D5,0x80
0x0D6,0x81
0x0D7,0x81
0x0D8,0x80
0x0D9,0x7F
0x0DA,0x7F
0x0DB,0x7F
0x0DC,0x80
0x0DD,0x7F
0x0DE,0x7F
0x0DF,0x7F
0x0E0,0x7F
0x0E1,0x7F
0x0E2,0x80
0x0E3,0x80
0x0E4,0x80
0x0E5,0x80
0x0E6,0x80
0x0E7,0x80
0x0E8,0x80
0x0E9,0x80
0x0EA,0x80
0x0EB,0x7F
0x0EC,0x7F
0x0ED,0x7F
0x0EE,0x7F
0x0EF,0x80
0x0F0,0x80
0x0F1,0x80
0x0F2,0x80
0x0F3,0x80
0x0F4,0x80
0x0F5,0x80
0x0F6,0x80
0x0F7,0x80
0x0F8,0x7F
0x0F9,0x7F
0x0FA,0x7F
0x0FB,0x7F
0x0FC,0x7F
0x0FD,0x80
0x0FE,0x80
0x0FF,0x7F
0x100,0x7F
0x101,0x80
0x102,0x81
0x103,0x81
0x104,0x80
0x105,0x80
0x106,0x7F
0x107,0x7F
0x108,0x7F
0x109,0x80
0x10A,0x80
0x10B,0x7F
0x10C,0x7F
0x10D,0x7F
0x10E,0x80
0x10F,0x80
0x110,0x80
0x111,0x80
0x112,0x80
0x113,0x80
0x114,0x80
0x115,0x80
0x116,0x80
0x117,0x80
0x118,0x7F
0x119,0x7F
0x11A,0x7F
0x11B,0x7F
0x11C,0x80
0x11D,0x80
0x11E,0x80
0x11F,0x80
0x120,0x80
0x121,0x80
0x122,0x80
0x123,0x80
0x124,0x80
0x125,0x80
0x126,0x7F
0x127,0x7F
0x128,0x7F
0x129,0x7F
0x12A,0x80
0x12B,0x80
0x12C,0x7F
0x12D,0x80
0x12E,0x80
0x12F,0x80
0x130,0x80
0x131,0x80
0x132,0x80
0x133,0x7F
0x134,0x7F
0x135,0x80
0x136,0x80
0x137,0x7F
0x138,0x80
0x139,0x7F
0x13A,0x7F
0x13B,0x7F
0x13C,0x80
0x13D,0x81
0x13E,0x80
0x13F,0x80
0x140,0x80
0x141,0x80
0x142,0x7F
0x143,0x80
0x144,0x80
0x145,0x7F
0x146,0x7F
0x147,0x7F
0x148,0x7F
0x149,0x80
0x14A,0x80
0x14B,0x80
0x14C,0x80
0x14D,0x80
0x14E,0x80
0x14F,0x80
0x150,0x80
0x151,0x80
0x152,0x80
0x153,0x7F
0x154,0x7F
0x155,0x7F
0x156,0x80
0x157,0x80
0x158,0x80
0x159,0x80
0x15A,0x80
0x15B,0x80
0x15C,0x80
0x15D,0x81
0x15E,0x80
0x15F,0x80
0x160,0x80
0x161,0x7F
0x162,0x7F
0x163,0x7F
0x164,0x80
0x165,0x80
0x166,0x7F
0x167,0x7F
0x168,0x80
0x169,0x80
0x16A,0x80
0x16B,0x80
0x16C,0x80
0x16D,0x80
0x16E,0x7F
0x16F,0x80
0x170,0x80
0x171,0x80
0x172,0x7F
0x173,0x7F
0x174,0x7F
0x175,0x7F
0x176,0x80
0x177,0x80
0x178,0x80
0x179,0x80
0x17A,0x80
0x17B,0x80
0x17C,0x80
0x17D,0x80
0x17E,0x80
0x17F,0x80
0x180,0x7F
0x181,0x7F
0x182,0x7F
0x183,0x7F
0x184,0x80
0x185,0x80
0x186,0x80
0x187,0x80
0x188,0x80
0x189,0x80
0x18A,0x80
0x18B,0x80
0x18C,0x80
0x18D,0x80
0x18E,0x7F
0x18F,0x7F
0x190,0x7F
0x191,0x80
0x192,0x80
0x193,0x80
0x194,0x80
0x195,0x80
0x196,0x80
0x197,0x81
0x198,0x80
0x199,0x80
0x19A,0x80
0x19B,0x80
0x19C,0x7F
0x19D,0x7F
0x19E,0x80
0x19F,0x80
